===== Table S12A base 10yr
Table S12.A. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Base model |  |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke |  | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men | 
beta | 1.0376 | 1.0009 | 1.0377 | 0.992 | 1.0291 | 0.9982 | 1.0167 | 0.9868 | 1.0507 | 1.0046
R-square | 0.991 | 0.9953 | 0.9982 | 0.997 | 0.9781 | 0.9909 | 0.9976 | 0.9967 | 0.9981 | 0.9965
===== Table S12C A1c 10yr
Table S12.C. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Enhanced for HbA1c |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.7858178 | 0.7699177 | 0.7111831 | 0.7064146 | 0.8997391 | 0.911787 | 0.7559415 | 0.7223642 | 0.6854957 | 0.7244468
non-HDL-C per 1 mmol/L | 0.0194438 | 0.0605093 | 0.106797 | 0.1532267 |  |  | 0.1663933 | 0.2443591 | 0.043261 | 0.0134286
HDL-C per 0.3 mmol/L | -0.1521964 | -0.0888525 | -0.1425745 | -0.1082166 |  |  | -0.1905004 | -0.1755236 | -0.0983793 | -0.0204357
SBP <110 per 20 mmHg | -0.2296681 | -0.417713 | -0.0736824 | -0.2675288 | -0.4422749 | -0.6568071 | -0.0768509 | -0.3025745 | -0.1017197 | -0.2506963
SBP ≥110 per 20 mmHg | 0.3465777 | 0.3288657 | 0.3480844 | 0.3173809 | 0.3378691 | 0.3524645 | 0.339647 | 0.3056892 | 0.3565955 | 0.3408562
Diabetes | 0.5366241 | 0.4759471 | 0.5112951 | 0.432604 | 0.681284 | 0.5849752 | 0.5632228 | 0.4874841 | 0.4609555 | 0.35355
Current smoking | 0.5411682 | 0.4385663 | 0.4880292 | 0.3958842 | 0.5886005 | 0.5014014 | 0.5478 | 0.3942456 | 0.4198301 | 0.3854904
BMI <30, per 5 kg/m2 |  |  |  |  | -0.0148657 | -0.0512352 |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2958374 | 0.365294 |  |  |  | 
eGFR <60, per -15 ml | 0.5931898 | 0.5334616 | 0.4754997 | 0.3665014 | 0.73447 | 0.6892219 | 0.5105085 | 0.3748008 | 0.4436518 | 0.3869787
eGFR 60+, per -15 ml | 0.0472458 | 0.0206431 | 0.0438132 | 0.0250243 | 0.05926 | 0.0292377 | 0.0381344 | 0.0250407 | 0.0544989 | 0.0237663
Anti-hypertensive use | 0.3158567 | 0.2917524 | 0.2259093 | 0.2061158 | 0.3543475 | 0.3038296 | 0.2023093 | 0.1616182 | 0.2493831 | 0.236159
Statin use | -0.1535174 | -0.1383313 | -0.0648872 | -0.0899988 |  |  | -0.0425927 | -0.0513733 | -0.0859775 | -0.1241976
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0687752 | -0.0482622 | -0.0437645 | -0.0334959 | -0.1002139 | -0.0515032 | -0.0953791 | -0.059131 | -0.0114564 | 0.0095878
Treated non-HDL-C | 0.1054746 | 0.1393796 | 0.0697082 | 0.1034168 |  |  | 0.0587372 | 0.0710909 | 0.0689079 | 0.1424174
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0761119 | -0.0463501 | -0.0506382 | -0.0255406 |  |  | -0.0607664 | -0.0476587 | -0.036013 | 0.018922
Age per 10yr * HDL-C per 1 mml/L | 0.0307469 | 0.0205926 | 0.0327475 | 0.0247538 |  |  | 0.0485765 | 0.0502694 | 0.0171809 | -0.0093452
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0905966 | -0.1037717 | -0.0996442 | -0.0917441 | -0.0878765 | -0.1262343 | -0.0841698 | -0.0838455 | -0.115679 | -0.1143576
Age per 10yr * diabetes | -0.2241857 | -0.1737697 | -0.1924338 | -0.1499195 | -0.303684 | -0.2449514 | -0.1986967 | -0.1630679 | -0.2025816 | -0.1559808
Age per 10yr * current smoking | -0.080186 | -0.0915839 | -0.0803539 | -0.098089 | -0.1178943 | -0.1392217 | -0.0807069 | -0.1220691 | -0.1003882 | -0.0824194
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | -0.008345 | 0.0009592 |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1667286 | -0.1637039 | -0.1682586 | -0.1305231 | -0.1912183 | -0.1917105 | -0.1610913 | -0.0859505 | -0.1760082 | -0.1890904
HbA1c in DM, per 1% | 0.1338348 | 0.13159 | 0.1339055 | 0.1157161 | 0.1856442 | 0.1652857 | 0.1832739 | 0.1251064 | 0.0929695 | 0.1076023
HbA1c no DM, per 1% | 0.1622409 | 0.1295185 | 0.1596461 | 0.1288303 | 0.1833083 | 0.1505859 | 0.1755465 | 0.1177006 | 0.1545054 | 0.1408596
Missing HbA1c | -0.0142496 | -0.0128373 | 0.0015678 | -0.0010001 | -0.0143112 | -0.0113444 | 0.0268381 | 0.0285438 | -0.025509 | -0.0470943
Constant | -3.306162 | -3.040901 | -3.838746 | -3.51835 | -4.288225 | -3.961954 | -4.667457 | -4.219654 | -4.396448 | -4.179346
R-square | 0.9996 | 0.999 | 0.9995 | 0.9987 | 0.9996 | 0.9993 | 0.9995 | 0.9986 | 0.9994 | 0.9986
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  | 
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing  |  |  |  |  |  |  |  |  |  | 
beta | 1.0313 | 1.0263 | 1.0397 | 1.0343 | 1.0176 | 1.0216 | 1.0445 | 1.0794 | 1.0306 | 1.023
R-square | 0.9889 | 0.9966 | 0.9951 | 0.9961 | 0.9771 | 0.9948 | 0.9936 | 0.9967 | 0.9941 | 0.9952
===== Table S12D SDI 10yr
Table S12.D. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Enhanced for SDI |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.7754083 | 0.7756377 | 0.7028123 | 0.7150087 | 0.8819156 | 0.894179 | 0.7583013 | 0.7373893 | 0.6883817 | 0.7163792
non-HDL-C per 1 mmol/L | 0.0221756 | 0.0715325 | 0.1056078 | 0.1627339 |  |  | 0.1609442 | 0.2569383 | 0.0468715 | 0.0167351
HDL-C per 0.3 mmol/L | -0.1650828 | -0.0976775 | -0.1502263 | -0.1194988 |  |  | -0.2079405 | -0.1900041 | -0.1034667 | -0.0265039
SBP <110 per 20 mmHg | -0.2180808 | -0.5186614 | -0.0488757 | -0.363659 | -0.4495491 | -0.7067398 | -0.0275333 | -0.4378936 | -0.0975923 | -0.2920414
SBP ≥110 per 20 mmHg | 0.3381188 | 0.3235653 | 0.3402681 | 0.3179476 | 0.3457405 | 0.350241 | 0.3427306 | 0.3091281 | 0.3471405 | 0.3400705
Diabetes | 0.8624372 | 0.7722496 | 0.838022 | 0.7156422 | 1.02632 | 0.9252453 | 0.8984391 | 0.761924 | 0.8069261 | 0.6577977
Current smoking | 0.4663953 | 0.3761129 | 0.4064592 | 0.3404477 | 0.5371646 | 0.4364765 | 0.4576379 | 0.3312286 | 0.3665732 | 0.3475259
BMI <30, per 5 kg/m2 |  |  |  |  | -0.0168447 | -0.0866297 |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2805126 | 0.3706765 |  |  |  | 
eGFR <60, per -15 ml | 0.5919004 | 0.5180893 | 0.4838394 | 0.3545754 | 0.7315223 | 0.6696768 | 0.5195616 | 0.3577071 | 0.452297 | 0.381238
eGFR 60+, per -15 ml | 0.0516821 | 0.0118451 | 0.0480415 | 0.0157875 | 0.0651679 | 0.0237374 | 0.0352758 | 0.0122218 | 0.0599795 | 0.0221544
Anti-hypertensive use | 0.3182166 | 0.2634094 | 0.2270648 | 0.1786233 | 0.3491487 | 0.2688352 | 0.208945 | 0.1225093 | 0.2405852 | 0.2497899
Statin use | -0.1460816 | -0.1455263 | -0.0585626 | -0.1018269 |  |  | -0.0468689 | -0.0793738 | -0.0793314 | -0.1131643
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0574455 | -0.0367013 | -0.0349485 | -0.028313 | -0.0890335 | -0.0434892 | -0.0799794 | -0.0614155 | -0.0072051 | 0.0141991
Treated non-HDL-C | 0.1302287 | 0.1617785 | 0.1017299 | 0.1209467 |  |  | 0.1104907 | 0.0930825 | 0.0939351 | 0.1614911
Age per 10yr * non-HDL-C per 1 mmol/L | -0.083509 | -0.0507669 | -0.062389 | -0.0285806 |  |  | -0.073155 | -0.0543692 | -0.0462084 | 0.0216521
Age per 10yr * HDL-C per 1 mml/L | 0.0282181 | 0.0178356 | 0.0285106 | 0.0247348 |  |  | 0.0466579 | 0.0513455 | 0.0135179 | -0.0103641
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0952647 | -0.1059337 | -0.1033711 | -0.0919494 | -0.0971028 | -0.1297155 | -0.0893181 | -0.0842996 | -0.1185197 | -0.1149054
Age per 10yr * diabetes | -0.2718966 | -0.2236755 | -0.2477845 | -0.1981491 | -0.3528078 | -0.299086 | -0.2583169 | -0.2123504 | -0.2528965 | -0.1965854
Age per 10yr * current smoking | -0.0641738 | -0.0723216 | -0.0544326 | -0.0776891 | -0.106216 | -0.1079522 | -0.0428336 | -0.0917351 | -0.0683003 | -0.0603548
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | 0.0064998 | 0.0130483 |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1717026 | -0.1548205 | -0.1735372 | -0.1284899 | -0.1899413 | -0.1797791 | -0.1663626 | -0.0781765 | -0.1805488 | -0.1894784
SDI decile categories 4-6 vs. 1-3 | 0.1442776 | 0.0889119 | 0.1473705 | 0.0728242 | 0.1343318 | 0.1235632 | 0.1729684 | 0.0784806 | 0.1122838 | 0.0858942
SDI decile categories 7-10 vs. 1-3 | 0.2421409 | 0.291897 | 0.2451878 | 0.2824453 | 0.2496522 | 0.3592212 | 0.2469497 | 0.2464877 | 0.2267393 | 0.3361503
Missing SDI | 0.1885076 | 0.1508151 | 0.1691593 | 0.1437348 | 0.1915023 | 0.17924 | 0.1678342 | 0.1005084 | 0.148597 | 0.1931235
Constant | -3.461564 | -3.159572 | -3.955898 | -3.624712 | -4.409382 | -4.058977 | -4.754823 | -4.254527 | -4.520553 | -4.37499
R-square | 0.9996 | 0.9989 | 0.9994 | 0.9984 | 0.9996 | 0.9991 | 0.9995 | 0.9984 | 0.9993 | 0.9983
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  | 
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing  |  |  |  |  |  |  |  |  |  | 
beta | 1.0153 | 1.0032 | 1.0117 | 1.0075 | 0.9643 | 0.9973 | 0.9969 | 1.0476 | 0.983 | 0.988
R-square | 0.9989 | 0.9988 | 0.9989 | 0.9988 | 0.9993 | 0.9988 | 0.9989 | 0.9977 | 0.9991 | 0.9992
===== Table S12E full 10yr
Table S12.E. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Enhanced for all novel variables |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.7716794 | 0.7847578 | 0.7023067 | 0.7128741 | 0.884209 | 0.9095703 | 0.7544208 | 0.7335852 | 0.6848394 | 0.7182761
non-HDL-C per 1 mmol/L | 0.0062109 | 0.0534485 | 0.0898765 | 0.1465201 |  |  | 0.1403589 | 0.2403104 | 0.0327248 | 0.0008864
HDL-C per 0.3 mmol/L | -0.1547756 | -0.0911282 | -0.1407316 | -0.1125794 |  |  | -0.1954699 | -0.1822238 | -0.0957615 | -0.0220683
SBP <110 per 20 mmHg | -0.1933123 | -0.4921973 | -0.0256648 | -0.3387216 | -0.421474 | -0.6765184 | -0.0021814 | -0.414886 | -0.07474 | -0.2719759
SBP ≥110 per 20 mmHg | 0.3071217 | 0.2972415 | 0.314511 | 0.2980252 | 0.3002919 | 0.3111651 | 0.3127753 | 0.2880084 | 0.3237856 | 0.319957
Diabetes | 0.496753 | 0.4527054 | 0.4799217 | 0.399583 | 0.6170359 | 0.5535052 | 0.523075 | 0.4937277 | 0.4441471 | 0.2728292
Current smoking | 0.466605 | 0.3726641 | 0.4062049 | 0.3379111 | 0.5380269 | 0.4326811 | 0.4594228 | 0.3326075 | 0.3636951 | 0.3426763
BMI <30, per 5 kg/m2 |  |  |  |  | -0.0191335 | -0.0854286 |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2764302 | 0.3551736 |  |  |  | 
eGFR <60, per -15 ml | 0.4780697 | 0.3886854 | 0.3847744 | 0.2582604 | 0.5975847 | 0.5102245 | 0.4173237 | 0.2586836 | 0.3629529 | 0.2907134
eGFR 60+, per -15 ml | 0.0529077 | 0.0081661 | 0.0495174 | 0.0147769 | 0.0654197 | 0.015472 | 0.0385169 | 0.0124978 | 0.0603154 | 0.0186548
Anti-hypertensive use | 0.3034892 | 0.2508052 | 0.2133861 | 0.1686621 | 0.3313614 | 0.2570964 | 0.198164 | 0.1132755 | 0.225342 | 0.240036
Statin use | -0.1556524 | -0.1538484 | -0.0678552 | -0.1073619 |  |  | -0.0557405 | -0.0823542 | -0.0885632 | -0.1218938
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0667026 | -0.0474695 | -0.0451416 | -0.0381038 | -0.1002304 | -0.0591177 | -0.0940465 | -0.0718794 | -0.0161592 | 0.0042588
Treated non-HDL-C | 0.1061825 | 0.1415382 | 0.0788187 | 0.1034169 |  |  | 0.0844888 | 0.0765924 | 0.0727068 | 0.1412729
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0742271 | -0.0436455 | -0.0535985 | -0.0228755 |  |  | -0.0630114 | -0.0489011 | -0.0389022 | 0.0275883
Age per 10yr * HDL-C per 1 mml/L | 0.0288245 | 0.0199549 | 0.0291762 | 0.0267453 |  |  | 0.0473455 | 0.0531464 | 0.0141743 | -0.0079987
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0875188 | -0.1022686 | -0.0961839 | -0.0897449 | -0.0845363 | -0.1219056 | -0.0801956 | -0.0813293 | -0.1121459 | -0.1121897
Age per 10yr * diabetes | -0.2267102 | -0.1762507 | -0.2001466 | -0.1497464 | -0.2989062 | -0.2437577 | -0.2002523 | -0.1679294 | -0.2089706 | -0.1446989
Age per 10yr * current smoking | -0.0676125 | -0.0715873 | -0.0586472 | -0.077206 | -0.1111354 | -0.105363 | -0.0484742 | -0.0927969 | -0.0703397 | -0.0580327
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | 0.0008104 | 0.0037907 |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1493231 | -0.1428668 | -0.1537791 | -0.1198368 | -0.1666635 | -0.1660207 | -0.1455343 | -0.0677064 | -0.1605001 | -0.1820914
SDI decile categories 4-6 vs. 1-3 | 0.1361989 | 0.0802431 | 0.1413965 | 0.0651121 | 0.1213034 | 0.1106372 | 0.1651771 | 0.0705264 | 0.1064527 | 0.0797728
SDI decile categories 7-10 vs. 1-3 | 0.2261596 | 0.275073 | 0.228136 | 0.2676683 | 0.2314147 | 0.3371204 | 0.2276 | 0.2306082 | 0.2095741 | 0.3204988
Missing SDI | 0.1804508 | 0.144759 | 0.1588908 | 0.1388492 | 0.1819138 | 0.1694628 | 0.1602508 | 0.094206 | 0.140274 | 0.1892707
ln-ACR, mg/g, per 1 ln unit | 0.1645922 | 0.1772853 | 0.1371824 | 0.1375837 | 0.1948135 | 0.2164607 | 0.1406282 | 0.1354182 | 0.1285363 | 0.1404936
Missing ACR/PCR/Dipstick | 0.0198413 | 0.1095674 | 0.0061613 | 0.0652944 | 0.0395368 | 0.1702805 | 0.032372 | 0.0759494 | -0.0243528 | 0.0536898
HbA1c in DM, per 1% | 0.1298513 | 0.1165698 | 0.123192 | 0.101282 | 0.176668 | 0.148297 | 0.1656628 | 0.116195 | 0.089734 | 0.0868309
HbA1c no DM, per 1% | 0.1412555 | 0.1048297 | 0.1410572 | 0.1092726 | 0.1614911 | 0.1234088 | 0.1586376 | 0.0991112 | 0.135479 | 0.1187536
Missing HbA1c | -0.0031658 | -0.0230072 | 0.005866 | -0.0112852 | -0.0010583 | -0.0234637 | 0.0266703 | 0.0213677 | -0.0158448 | -0.060318
Constant | -3.860385 | -3.631387 | -4.291503 | -3.969788 | -4.896524 | -4.663513 | -5.131505 | -4.629874 | -4.800802 | -4.683048
